trial_nr	onset	event_type	phase	response	nr_frames	subject	block	signal_present	signal_orientation	signal_opacity	correct	miniblock	blinkDuringTrial	RT	trial	confidence	key	RT_   0	onset_abs	duration
116	588.1321821212769	feedback_window	4	0	10.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.5336511135101318	116.0	0.0			602.38148021698	0.33335399627685547
116	588.4655361175537	ITI_window	5	0	27.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.5336511135101318	116.0	0.0			602.7148342132568	0.899810791015625
117	589.3653469085693	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	117.0	-1.0			603.6146450042725	0.0026922225952148438
117	589.3680391311646	baseline_window	1	-1	18.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	117.0	-1.0			603.6173372268677	0.5056037902832031
117	589.8736429214478	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	117.0	-1.0			604.1229410171509	0.19229912757873535
117	590.0659420490265	response_window	3	-1	14.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	117.0	-1.0			604.3152401447296	0.43293190002441406
117	590.4656710624695	response	3	0	14						1.0			0.5920281410217285		0.0	3		604.7149691581726	
117	590.4988739490509	feedback_window	4	0	10.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.5920281410217285	117.0	0.0			604.748172044754	0.3333160877227783
117	590.8321900367737	ITI_window	5	0	22.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.5920281410217285	117.0	0.0			605.0814881324768	0.741286039352417
118	591.5734760761261	blockStart	0	-1	0.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	118.0	-1.0			605.8227741718292	0.0027790069580078125
118	591.5762550830841	baseline_window	1	-1	16.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	118.0	-1.0			605.8255531787872	0.4725680351257324
118	592.0488231182098	stimulus_window	2	-1	6.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	118.0	-1.0			606.298121213913	0.19178080558776855
118	592.2406039237976	response_window	3	-1	20.0	01	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	-1.0	118.0	-1.0			606.4899020195007	0.6249141693115234
118	592.8199729919434	response	3	0	20						1.0			0.7711498737335205		0.0	3		607.0692710876465	
118	592.8655180931091	feedback_window	4	0	9.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.7711498737335205	118.0	0.0			607.1148161888123	0.3081319332122803
118	593.1736500263214	ITI_window	5	0	29.0	01	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.7711498737335205	118.0	0.0			607.4229481220245	0.9664759635925293
119	594.1401259899139	blockStart	0	-1	0.0	01	0.0	1.0	1.0	0.045000000000000005	-1.0	1.0	0.0	-1.0	119.0	-1.0			608.3894240856171	0.002789020538330078
119	594.1429150104523	baseline_window	1	-1	17.0	01	0.0	1.0	1.0	0.045000000000000005	-1.0	1.0	0.0	-1.0	119.0	-1.0			608.3922131061554	0.4889559745788574
119	594.6318709850311	stimulus_window	2	-1	6.0	01	0.0	1.0	1.0	0.045000000000000005	-1.0	1.0	0.0	-1.0	119.0	-1.0			608.8811690807343	0.20011305809020996
119	594.8319840431213	response_window	3	-1	14.0	01	0.0	1.0	1.0	0.045000000000000005	-1.0	1.0	0.0	-1.0	119.0	-1.0			609.0812821388245	0.3747060298919678
119	595.1737039089203	response	3	1	14						1.0			0.5418329238891602		1.0	2		609.4230020046234	
119	595.2066900730133	feedback_window	4	1	11.0	01	0.0	1.0	1.0	0.045000000000000005	1.0	1.0	0.0	0.5418329238891602	119.0	1.0			609.4559881687164	0.31667184829711914
119	595.5233619213104	ITI_window	5	1	21.0	01	0.0	1.0	1.0	0.045000000000000005	1.0	1.0	0.0	0.5418329238891602	119.0	1.0			609.7726600170135	0.6585960388183594
120	596.1819579601288	blockStart	0	-1	0.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	120.0	-1.0			610.4312560558319	0.002707958221435547
120	596.1846659183502	baseline_window	1	-1	17.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	120.0	-1.0			610.4339640140533	0.488983154296875
120	596.6736490726471	stimulus_window	2	-1	6.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	120.0	-1.0			610.9229471683502	0.1917879581451416
120	596.8654370307922	response_window	3	-1	11.0	01	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	-1.0	120.0	-1.0			611.1147351264954	0.3248560428619385
120	597.1529841423035	response	3	0	11						1.0			0.47933506965637207		0.0	3		611.4022822380066	
120	597.1902930736542	feedback_window	4	0	10.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.47933506965637207	120.0	0.0			611.4395911693573	0.3333718776702881
120	597.5236649513245	ITI_window	5	0	21.0	01	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.47933506965637207	120.0	0.0			611.7729630470276	0.6997561454772949
